codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
2372,DIRECCION PROVINCIAL SEPE (servicio público de empleo estatal),Direccion Provincial SEPE (planta baja),VIGO,PONTEVEDRA,42.24,-8.7302,Administraciones o instituciones públicas
2388,Mc FIT VIGO S.L.U.,Gimnasio Mc FIT VIGO,VIGO,PONTEVEDRA,42.2322,-8.7027,En instalaciones deportivas
2395,AUTORIDAD PORTUARIA VILAGARCÍA,Edificio de la Autoridad Portuaria (planta baja),VILAGARCIA DE AROUSA,PONTEVEDRA,42.5938,-8.7755,Otros
2396,AUTORIDAD PORTUARIA VILAGARCÍA,Edificio de Control de Servizos e Emerxencias do Porto (planta baja),VILAGARCIA DE AROUSA,PONTEVEDRA,42.5938,-8.7755,Otros
2404,Concello de SILLEDA,Campo de Futbol de Outeiriño,SILLEDA,PONTEVEDRA,42.7027,-8.2447,En instalaciones deportivas
2405,Concello de SILLEDA,Campo de Futbol de A Gandareira,SILLEDA,PONTEVEDRA,42.7338,-8.3002,En instalaciones deportivas
2409,BIMBA y LOLA S. L.,Almacenes BIMBA y LOLA (en control de seguridad),MOS,PONTEVEDRA,42.2294,-8.6077,En empresa privada
2414,VITRASA (VIGUESA DE TRANSPORTES),Nave central de VITRASA (en aula de formación),VIGO,PONTEVEDRA,42.2033,-8.7552,En empresa privada
2436,REAL CLUB CELTA S.A. D.,Sede del CELTA S.A.D. (planta 4º oficinas),VIGO,PONTEVEDRA,42.2363,-8.7219,En empresa privada
2442,IES Alexandre Bóveda,IES Alexandre Bóveda (pasillo conserjería),VIGO,PONTEVEDRA,42.2152,-8.7502,En centros docentes
2459,Concello de Vigo,Edificio do concello,VIGO,PONTEVEDRA,42.2359,-8.7292,Administraciones o instituciones públicas
2464,Deputación de Pontevedra,Castelo de Soutomaior (vestíbulo principal),SOUTOMAIOR,PONTEVEDRA,42.3298,-8.5703,Administraciones o instituciones públicas
2465,MARSAN TRANSFORMACIONES S. L. U.,MARSAN TRANSFORMACIONES S. L. U. (entrada principal),VIGO,PONTEVEDRA,42.1787,-8.7101,En empresa privada
2466,BENTELER AUTOMOTIVE S. L.,Benteler Automotive S. L. (almacén),VIGO,PONTEVEDRA,42.1753,-8.7118,En empresa privada
2467,CUALTIS S. L. U.,CUALTIS S.L.U. (recepción),VIGO,PONTEVEDRA,42.2114,-8.7491,En empresa privada
2483,Colegio BOUZA BREY,Colegio Bouza Brey (planta baja),VIGO,PONTEVEDRA,42.238,-8.6952,En centros docentes
2487,Gestión Hotelera Onix Vigo S. L.,Gran Hotel NAGARI,VIGO,PONTEVEDRA,42.2396,-8.7214,En empresa privada
2489,Cooperativa Armadores de Pesca del Puerto de Vigo,Cooperativa Amadores de Pesca del Puerto de Vigo,VIGO,PONTEVEDRA,42.2368,-8.7327,En empresa privada
2490,MAGARIÑOS SUMINISTROS NÁUTICOS S. L.,MAGARIÑOS SUMINISTROS NÁUTICOS S. L.,VIGO,PONTEVEDRA,42.2249,-8.7474,En empresa privada
2497,Concello de Cangas,Base de Proteccion Civil,CANGAS,PONTEVEDRA,42.2677,-8.7633,Protección civil (no amb.)
2506,REAL CLUB CELTA S.A. D.,Estadio de Balaidos (PALCOS VIP),VIGO,PONTEVEDRA,42.2119,-8.7402,En instalaciones deportivas
